id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_freq_hz,p_fine_hz,p_feedback,p_hat_freq_hz,p_hat_fine_hz,p_hat_feedback
0,audio_0.wav,0.6104051470756531,0.4509032666683197,0.8690193295478821,0.05833331495523453,0.258614182472229,-0.3925699517130852,0.7762935,0.81418324,0.83006424,0.67013294,0.6445237,0.5867382
1,audio_1.wav,0.6104051470756531,0.4509032666683197,0.8687425851821899,0.06376241892576218,0.25833743810653687,-0.3871408477425575,0.95674455,0.26132733,0.029945612,0.65802586,0.64972967,0.5975976
2,audio_2.wav,0.6104051470756531,0.4509032666683197,0.7986931204795837,0.3357086181640625,0.18828797340393066,-0.1151946485042572,0.09586769,0.25666523,0.16572046,0.2612882,0.3678415,0.8680563
3,audio_3.wav,0.6104051470756531,0.4509032666683197,0.8287091851234436,0.33361196517944336,0.21830403804779053,-0.11729130148887634,0.34056282,0.6760055,0.47269875,0.39577702,0.50439584,0.8067019
4,audio_4.wav,0.6104051470756531,0.4509032666683197,0.8026668429374695,0.3350365459918976,0.1922616958618164,-0.11586672067642212,0.20013338,0.11482364,0.10133648,0.2720794,0.37939546,0.8640576
5,audio_5.wav,0.6104051470756531,0.4509032666683197,0.7965664863586426,0.3350762128829956,0.1861613392829895,-0.1158270537853241,0.25690508,0.60517186,0.97170204,0.25734898,0.3591798,0.87129945
6,audio_6.wav,0.6104051470756531,0.4509032666683197,0.8689420819282532,0.0651751160621643,0.2585369348526001,-0.3857281506061554,0.9286166,0.6240222,0.2420224,0.66012233,0.64895564,0.59642315
7,audio_7.wav,0.6104051470756531,0.4509032666683197,0.8690001964569092,0.060602977871894836,0.2585950493812561,-0.39030028879642487,0.8167154,0.23695344,0.5706101,0.66986066,0.6446986,0.5868344
8,audio_8.wav,0.6104051470756531,0.4509032666683197,0.7986807227134705,0.3359960615634918,0.18827557563781738,-0.11490720510482788,0.048790634,0.002112329,0.3067407,0.26384407,0.3701247,0.86836326
9,audio_9.wav,0.6104051470756531,0.4509032666683197,0.8006760478019714,0.33549416065216064,0.19027090072631836,-0.11540910601615906,0.25254017,0.44011468,0.110055745,0.26928076,0.3742638,0.86765146
10,audio_10.wav,0.6104051470756531,0.4509032666683197,0.8138810396194458,0.33837199211120605,0.20347589254379272,-0.11253127455711365,0.16522133,0.43589878,0.07208294,0.31875533,0.42950505,0.8494
11,audio_11.wav,0.6104051470756531,0.4509032666683197,0.8065669536590576,0.33747681975364685,0.19616180658340454,-0.11342644691467285,0.27030218,0.44451582,0.30323714,0.2846671,0.39105928,0.86284477
12,audio_12.wav,0.6104051470756531,0.4509032666683197,0.8025355935096741,0.3357553482055664,0.192130446434021,-0.1151479184627533,0.12146145,0.3854469,0.2224099,0.2736321,0.38147917,0.8644906
13,audio_13.wav,0.6104051470756531,0.4509032666683197,0.791936993598938,0.3347659111022949,0.1815318465232849,-0.11613735556602478,0.22784674,0.850504,0.8509249,0.24679832,0.346427,0.8708112
14,audio_14.wav,0.6104051470756531,0.4509032666683197,0.8628599643707275,0.08792316913604736,0.25245481729507446,-0.36298009753227234,0.48583055,0.29530197,0.33074272,0.5944685,0.6417015,0.66354233
15,audio_15.wav,0.6104051470756531,0.4509032666683197,0.8687458634376526,0.06664898991584778,0.2583407163619995,-0.3842542767524719,0.9240406,0.10173994,0.64325595,0.6564919,0.64893216,0.6008877
16,audio_16.wav,0.6104051470756531,0.4509032666683197,0.7986003160476685,0.3352230489253998,0.18819516897201538,-0.11568021774291992,0.09959245,0.18347234,0.58828205,0.26210922,0.36788332,0.8681956
17,audio_17.wav,0.6104051470756531,0.4509032666683197,0.8684954047203064,0.06988246738910675,0.2580902576446533,-0.38102079927921295,0.9395845,0.71448255,0.98284394,0.6496467,0.65079147,0.607955
18,audio_18.wav,0.6104051470756531,0.4509032666683197,0.8689873218536377,0.06504891812801361,0.2585821747779846,-0.3858543485403061,0.5865299,0.45888317,0.27455074,0.66227937,0.64841527,0.5939068
19,audio_19.wav,0.6104051470756531,0.4509032666683197,0.8687652349472046,0.0649416521191597,0.2583600878715515,-0.38596161454916,0.56982934,0.6356453,0.523493,0.6570017,0.6500145,0.5998215
20,audio_20.wav,0.6104051470756531,0.4509032666683197,0.802615761756897,0.33568695187568665,0.1922106146812439,-0.11521631479263306,0.14841461,0.861167,0.041238785,0.272351,0.38078135,0.86511934
21,audio_21.wav,0.6104051470756531,0.4509032666683197,0.869038462638855,0.061114925891160965,0.2586333155632019,-0.38978834077715874,0.7100172,0.9420792,0.20692718,0.6685429,0.645321,0.5882631
22,audio_22.wav,0.6104051470756531,0.4509032666683197,0.8410364389419556,0.3263489902019501,0.2306312918663025,-0.12455427646636963,0.35432988,0.1604231,0.18412298,0.44305414,0.5543657,0.76849437
23,audio_23.wav,0.6104051470756531,0.4509032666683197,0.7965531945228577,0.3354010581970215,0.1861480474472046,-0.11550220847129822,0.23585647,0.967493,0.5348605,0.2532729,0.35488024,0.87177837
