,Overdrive,Overdrive,RingMod,RingMod,Ambience,Ambience,Combo,Combo,Delay,Delay,Dynamics,Dynamics
,Param,MMI,Param,MMI,Param,MMI,Param,MMI,Param,MMI,Param,MMI
0,drive,0.5804940197478112,freq_hz,3.3155506127469057,size_m,0.3062282737458739,drive_s_h,0.8912251137806972,l_delay_ms,0.789228437018382,thresh_db,0.021159538058900473
1,muffle,1.3786182037872168,fine_hz,0.02949549915254046,hf_damp,0.022787683151526572,bias,0.010484496453598169,r_delay,0.2223160208942785,ratio,0.009681606750110205
2,output_db,0.0012480442713522777,feedback,0.13812955920235837,mix,0.47410364066586563,output_db,0.005743373788306805,feedback,0.030766093440467657,output_db,0.07096545646818608
3,,,,,output_db,0.006581447381667438,hpf_freq,1.58200309819048,fb_tone_lo_hi,0.047116364797764376,attack_s,0.0
4,,,,,,,hpf_reso,0.22531335647372153,fb_mix,0.3183751202870626,release_ms,0.17854015860318473
5,,,,,,,,,,,limiter_db,0.01884658547886442
6,,,,,,,,,,,gate_thr_db,0.24992785295500752
7,,,,,,,,,,,gate_att_s,0.0
8,,,,,,,,,,,gate_rel_ms,0.07400634277301776
9,,,,,,,,,,,mix,0.06473492669268488
